ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12631010,12631010,Pembangunan Saluran U-Ditch 150/150 dengan Cover Gandar 10 ton (JL. SIDOTOPO LOR NO.3 S.D. NO. 70),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,3421010.0-1,CV. PROLIFIC,5792354292,5084596304,IDR,2024-02-29,2024-03-15,open,works,complete
ocds-20h3g7-12632010,12632010,Pembangunan Saluran U-Ditch 100/120 dengan Cover Gandar 10 ton (JL. KREMBANGAN BARAT RT. 4 RW. 4),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,6728010.0-1,CV. Abda karya mandiri,4994181062,4089814987,IDR,2024-02-29,2024-03-21,open,works,complete
ocds-20h3g7-12633010,12633010,"Pembangunan Saluran U-Ditch 200/200 dengan Cover, Gandar 15 ton (JL. PENJARINGAN TIMUR)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,629122.0-1,CV. CAHAYA PRATAMA,5928389907,4929247693,IDR,2024-02-29,2024-03-21,open,works,complete
ocds-20h3g7-12634010,12634010,"Pembangunan Saluran U-Ditch 200/200 dengan Cover, Gandar 10 ton (JL. KETINTANG MADYA 2 SISI PENGADILAN AGAMA)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8402010.0-1,CV. BAHTERA ENERGI STRUKTUR,5991592875,4721375185,IDR,2024-02-29,2024-03-21,open,works,complete
ocds-20h3g7-12637010,12637010,Survey Kinerja Lalu Lintas Tahap I,Jasa Konsultansi Badan Usaha Non Konstruksi,D181,Pemerintah Daerah Kota Surabaya,14874015.0-1,PT AMANAH TEKNIK KONSULINDO,515300000,461316000,IDR,2024-03-01,2024-04-18,open,services,complete
ocds-20h3g7-12638010,12638010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M ((RUMAH POTONG HEWAN (RPH) KANDANG SAPI - LANJUTAN))",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,7787015.0-1,CV. PRIMA CIPTA CONSULTANT,263357712,223844820,IDR,2024-02-29,2024-04-22,open,services,complete
ocds-20h3g7-12646010,12646010,"Biaya Manajemen Konstruksi (Tidak Sederhana), Nilai Pekerjaan 40 M",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8009010.0-1,PT. Karya Nugraha Nusantara,1157508599,1092721018.5,IDR,2024-03-05,2024-03-28,open,services,complete
ocds-20h3g7-12650010,12650010,"Biaya Perencanaan Fisik (sederhana), Nilai Pekerjaan 2,6 M",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4815010.0-1,CV. IDEA KARYA NUSA,132280087.5,105839887.5,IDR,2024-03-04,2024-04-19,open,services,complete
ocds-20h3g7-12651010,12651010,Pembuatan Leger Jalan Kota Surabaya,Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,10672015.0-1,PT TOTAL CIPTA PERSADA,651257243,552558000,IDR,2024-03-19,2024-05-03,open,services,complete
ocds-20h3g7-12664010,12664010,"Biaya Manajemen Konstruksi (Tidak Sederhana), Nilai Pekerjaan 19,4 M (GEDUNG BINMAS, IDENT DAN BHAYANGKARI POLRESTABES SURABAYA)",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,8633015.0-1,PT. SOLUSI UTAMA KONSULTAN,583830252,559107000,IDR,2024-03-15,2024-05-03,open,services,complete
